work_id,added_at,offer_url,position_name,company_name,company_location,type_of_contract,work_schedule,work_modes,employment_level,immediate_employment,ukrainian_without_polish_language,vacancies
17112,2022-12-02 13:48:58.289037+01,"https://www.pracuj.pl/praca/specjalista-ds-obslugi-klienta-warszawa-aleje-jerozolimskie-162a,oferta,1002227700?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. Obsługi Klienta,Vienna Life,"Warszawa, Ochota","Umowa o pracę, Umowa na zastępstwo",Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),praca od zaraz,,
17113,2022-12-02 13:48:58.291565+01,"https://www.pracuj.pl/praca/koordynator-ds-projektowych-warszawa,oferta,1002242230?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Koordynator ds. Projektowych,Mostostal Warszawa S.A.,Warszawa,Umowa o pracę,Pełny etat,,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
17114,2022-12-02 13:48:58.294665+01,"https://www.pracuj.pl/praca/specjalista-ds-warunkow-kontraktowych-warszawa,oferta,1002212921?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. Warunków Kontraktowych,ONDE S.A.,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,praca stacjonarna,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",praca od zaraz,,
17115,2022-12-02 13:48:58.297601+01,"https://www.pracuj.pl/praca/react-native-developer-warszawa-zlota-59,oferta,1002235668?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",React Native Developer,Chimera Prime Sp z o.o.,"Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca hybrydowa, praca zdalna",Specjalista (Mid / Regular),,,
17116,2022-12-02 13:48:58.300704+01,"https://www.pracuj.pl/praca/senior-react-native-developer-warszawa-zlota-59,oferta,1002235672?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior React Native Developer,Chimera Prime Sp z o.o.,"Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca hybrydowa, praca zdalna",Starszy specjalista (Senior),,,
17117,2022-12-02 13:48:58.303071+01,"https://www.pracuj.pl/praca/data-modeler-warszawa-jutrzenki-105,oferta,1002242224?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Data Modeler,Robert Bosch Sp. z o.o.,"Warszawa, Włochy",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17118,2022-12-02 13:48:58.305481+01,"https://www.pracuj.pl/praca/projektant-systemow-automatyki-i-c-engineer-warszawa,oferta,1002242221?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Projektant systemów automatyki (I&C Engineer),Jacobs Engineering,Warszawa,Umowa o pracę,Pełny etat,"praca stacjonarna, praca hybrydowa",Specjalista (Mid / Regular),,,
17119,2022-12-02 13:48:58.307899+01,"https://www.pracuj.pl/praca/international-account-manager-warszawa,oferta,1002203362?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",International Account Manager,SoftBlue S.A.,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,"praca stacjonarna, praca hybrydowa, praca zdalna",Menedżer,praca od zaraz,,
17120,2022-12-02 13:48:58.31063+01,"https://www.pracuj.pl/praca/operator-wozkow-widlowych-czosnow-pow-nowodworski,oferta,1002212903?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Operator wózków widłowych,HUMAN PRO LOGISTICS SP. Z O.O.,Czosnów (pow. nowodworski),Umowa o pracę,Pełny etat,praca stacjonarna,Pracownik fizyczny,,,szukamy wielu kandydatów
17121,2022-12-02 13:48:58.313282+01,"https://www.pracuj.pl/praca/operator-maszyn-czosnow-pow-nowodworski,oferta,1002212902?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Operator maszyn,HUMAN PRO LOGISTICS SP. Z O.O.,Czosnów (pow. nowodworski),Umowa o pracę,Pełny etat,praca stacjonarna,Pracownik fizyczny,,,szukamy wielu kandydatów
17122,2022-12-02 13:48:58.316096+01,"https://www.pracuj.pl/praca/senior-react-developer-warszawa-zlota-59,oferta,1002235660?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior React Developer,Chimera Prime Sp z o.o.,"Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca hybrydowa, praca zdalna",Starszy specjalista (Senior),,,
17123,2022-12-02 13:48:58.319168+01,"https://www.pracuj.pl/praca/specjalista-ds-rozliczen-i-administracji-warszawa-staniewicka-12,oferta,1002242219?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. rozliczeń i administracji,AIQLABS sp. z o.o.,"Warszawa, Targówek","Umowa o pracę, Umowa zlecenie",Pełny etat,"praca stacjonarna, praca hybrydowa",Specjalista (Mid / Regular),praca od zaraz,,
17124,2022-12-02 13:48:58.321419+01,"https://www.pracuj.pl/praca/pomocnik-operatora-maszyn-czosnow-pow-nowodworski,oferta,1002212900?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Pomocnik operatora maszyn,HUMAN PRO LOGISTICS SP. Z O.O.,Czosnów (pow. nowodworski),Umowa o pracę,Pełny etat,praca stacjonarna,Pracownik fizyczny,,,szukamy wielu kandydatów
17125,2022-12-02 13:48:58.324904+01,"https://www.pracuj.pl/praca/react-developer-warszawa-zlota-59,oferta,1002235653?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",React Developer,Chimera Prime Sp z o.o.,"Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca hybrydowa, praca zdalna",Specjalista (Mid / Regular),,,
17126,2022-12-02 13:48:58.328256+01,"https://www.pracuj.pl/praca/senior-full-stack-developer-warszawa-zlota-59,oferta,1002235655?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior Full Stack Developer,Chimera Prime Sp z o.o.,"Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca hybrydowa, praca zdalna",Starszy specjalista (Senior),,,
